source,beneficiary_name,project_name,total_amount,project_status,amount,amount_kind,approval_date,beneficiary_address,beneficiary_city,beneficiary_country,beneficiary_country_code,beneficiary_county,beneficiary_id,beneficiary_nuts_code,beneficiary_nuts_region,beneficiary_person,beneficiary_postal_code,beneficiary_url,cci_program_code,cci_program_title,completion_date,currency,eu_cofinancing_amount,eu_cofinancing_amount_eligible,eu_cofinancing_rate,european_investment_bank_amount,final_payment_date,first_payment_date,fund_acronym,fund_name,funding_period,internal_id,management_authority,member_state_amount,operational_programme,priority_label,priority_number,project_description,project_id,starting_date,theme_code,theme_name,third_party_amount,total_amount_applied,total_amount_eligible
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,Reval Austria GmbH,Innovationsdienstleistung fÃ¼r Unternehmen,405000,paid out,405000,total_amount,,,,ÃSTERREICH,AT,,Austria gmbh reval,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1816,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,RH technik HÃ¶lbfer GmbH,Innovationsdienstleistung fÃ¼r Unternehmen,432000,paid out,432000,total_amount,,,,ÃSTERREICH,AT,,Gmbh holbfer rh technik,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1817,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,RHI AG,Betriebliches Forschungs- und Entwicklungsprojekt,74632500,paid out,74632500,total_amount,,,,ÃSTERREICH,AT,,Ag rhi,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1818,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,RHI AG,Betriebliches Forschungs- und Entwicklungsprojekt,67385000,paid out,67385000,total_amount,,,,ÃSTERREICH,AT,,Ag rhi,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1819,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,RHI AG,Betriebliches Forschungs- und Entwicklungsprojekt,102417500,paid out,102417500,total_amount,,,,ÃSTERREICH,AT,,Ag rhi,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1820,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,RHI AG,Betriebliches Forschungs- und Entwicklungsprojekt,127796000,paid out,127796000,total_amount,,,,ÃSTERREICH,AT,,Ag rhi,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1821,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,RHI AG,Betriebliches Forschungs- und Entwicklungsprojekt,110516000,commited,110516000,total_amount,,,,ÃSTERREICH,AT,,Ag rhi,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1822,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,Richard Hiebler GmbH,Innovationsdienstleistung fÃ¼r Unternehmen,2900000,paid out,2900000,total_amount,,,,ÃSTERREICH,AT,,Gmbh hiebler richard,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1823,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,Richard Hiebler GmbH,Innovationsdienstleistung fÃ¼r Unternehmen,462000,paid out,462000,total_amount,,,,ÃSTERREICH,AT,,Gmbh hiebler richard,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1824,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,Riegler Holzindustrie GmbH,Innovationsdienstleistung fÃ¼r Unternehmen,2070000,paid out,2070000,total_amount,,,,ÃSTERREICH,AT,,Gmbh holzindustrie riegler,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1825,,,,,,,,,,,,,
